Competition: Euro Championship, Country: World
Competition: Superettan, Country: Sweden
Competition: Challenge League, Country: Switzerland
Competition: Liga MX, Country: Mexico
Competition: Liga de Expansión MX, Country: Mexico
Competition: Canadian Championship, Country: Canada
Competition: Super League, Country: Malaysia
Competition: Premier League, Country: Malaysia
Competition: Premiership, Country: New-Zealand
Competition: Primera División, Country: Peru
Competition: Segunda División, Country: Peru
Competition: Liga I, Country: Romania
Competition: Liga II, Country: Romania
Competition: Super Liga, Country: Serbia
Competition: Prva Liga, Country: Serbia
Competition: Premier Soccer League, Country: South-Africa
Competition: 1st Division, Country: South-Africa
Competition: Persian Gulf Pro League, Country: Iran
Competition: Azadegan League, Country: Iran
Competition: K League 1, Country: South-Korea
Competition: K League 2, Country: South-Korea
Competition: Pro League, Country: Saudi-Arabia
Competition: Division 1, Country: Saudi-Arabia
Competition: Division 2, Country: Saudi-Arabia
Competition: Division Profesional - Clausura, Country: Paraguay
Competition: Premier League, Country: Kyrgyzstan
Competition: Division 2 - Norra Götaland, Country: Sweden
Competition: Division 2 - Norra Svealand, Country: Sweden
Competition: Division 2 - Norrland, Country: Sweden
Competition: Division 2 - Södra Svealand, Country: Sweden
Competition: Division 2 - Västra Götaland, Country: Sweden
Competition: Division 2 - Östra Götaland, Country: Sweden
Competition: Cup, Country: Tunisia
Competition: U19 Bundesliga, Country: Germany
Competition: Copa Centroamericana, Country: World
Competition: OFC Nations Cup, Country: World
Competition: China Cup, Country: World
Competition: Crown Prince Cup, Country: Saudi-Arabia
Competition: Second League, Country: Macedonia
Competition: Cup, Country: Bulgaria
Competition: Friendlies, Country: World
Competition: UEFA Youth League, Country: World
Competition: AFC Cup, Country: World
Competition: CAF Confederation Cup, Country: World
Competition: League Cup, Country: Northern-Ireland
Competition: Presidents Cup, Country: United-Arab-Emirates
Competition: Premier Intermediate League, Country: Northern-Ireland
Competition: Championship, Country: Northern-Ireland
Competition: Premiership, Country: Northern-Ireland
Competition: Division 1, Country: Kuwait
Competition: UEFA U21 Championship, Country: World
Competition: Premier League, Country: Syria
Competition: Alagoano, Country: Brazil
Competition: Druha Liga - Group B, Country: Ukraine
Competition: League Cup, Country: Scotland
Competition: World Cup - U20, Country: World
Competition: Tweede Divisie, Country: Netherlands
Competition: Cup, Country: Kazakhstan
Competition: King's Cup, Country: Saudi-Arabia
Competition: Cup, Country: South-Africa
Competition: League Cup, Country: South-Africa
Competition: 1. Liga Promotion, Country: Switzerland
Competition: Premier League, Country: Libya
Competition: Taiwan Football Premier League, Country: Chinese-Taipei
Competition: Canadian Soccer League, Country: Canada
Competition: Liga 1, Country: Indonesia
Competition: Liga Panameña de Fútbol, Country: Panama
Competition: Ekstraklasa, Country: Poland
Competition: First League, Country: Bulgaria
Competition: UEFA Nations League, Country: World
Competition: Liga de Ascenso, Country: Costa-Rica
Competition: FAW Championship, Country: Wales
Competition: Primera División, Country: Chile
Competition: Primera B, Country: Chile
Competition: Super League, Country: Kenya
Competition: 1. Division, Country: Cyprus
Competition: 2. Division, Country: Cyprus
Competition: 3. Division, Country: Cyprus
Competition: Botola 2, Country: Morocco
Competition: Indian Super League, Country: India
Competition: I-League, Country: India
Competition: I Liga, Country: Poland
Competition: Super Liga, Country: Slovakia
Competition: Czech Liga, Country: Czech-Republic
Competition: FNL, Country: Czech-Republic
Competition: First League, Country: Montenegro
Competition: Second League, Country: Montenegro
Competition: Primera División, Country: Bolivia
Competition: USL League Two, Country: USA
Competition: FA Cup, Country: Hong-Kong
Competition: AIFF Super Cup, Country: India
Competition: Super Cup, Country: Norway
Competition: CONCACAF Nations League - Qualification, Country: World
Competition: 1. SNL, Country: Slovenia
Competition: 2. SNL, Country: Slovenia
Competition: Super League, Country: Malawi
Competition: Copa del Rey, Country: Spain
Competition: National Soccer League, Country: Rwanda
Competition: Premier League, Country: Namibia
Competition: Premier League, Country: Belize
Competition: Cup, Country: Croatia
Competition: State Cup, Country: Israel
Competition: Cupa României, Country: Romania
Competition: Cup, Country: Cyprus
Competition: World Cup - Qualification CONCACAF, Country: World
Competition: World Cup - Qualification Europe, Country: World
Competition: World Cup - Qualification Oceania, Country: World
Competition: World Cup - Qualification South America, Country: World
Competition: World Cup - Qualification Africa, Country: World
Competition: World Cup - Qualification Asia, Country: World
Competition: Serie C - Girone B, Country: Italy
Competition: Serie C - Girone C, Country: Italy
Competition: Super Cup, Country: Georgia
Competition: Piala Indonesia, Country: Indonesia
Competition: Second Amateur Division - VFV A, Country: Belgium
Competition: Second Amateur Division - VFV B, Country: Belgium
Competition: Third Amateur Division - VFV A, Country: Belgium
Competition: Third Amateur Division - VFV B, Country: Belgium
Competition: Third League - Northeast, Country: Bulgaria
Competition: Third League - Northwest, Country: Bulgaria
Competition: Third League - Southeast, Country: Bulgaria
Competition: Third League - Southwest, Country: Bulgaria
Competition: National League - Play-offs, Country: England
Competition: Løgmanssteypid, Country: Faroe-Islands
Competition: UEFA U19 Championship, Country: World
Competition: Malaysia Cup, Country: Malaysia
Competition: Super Cup, Country: Algeria
Competition: CONCACAF U20, Country: World
Competition: Landesliga - Burgenland, Country: Austria
Competition: Landesliga - Karnten, Country: Austria
Competition: Landesliga - Niederosterreich, Country: Austria
Competition: Landesliga - Oberosterreich, Country: Austria
Competition: Landesliga - Salzburg, Country: Austria
Competition: Landesliga - Steiermark, Country: Austria
Competition: Landesliga - Tirol, Country: Austria
Competition: Landesliga - Vorarlbergliga, Country: Austria
Competition: Landesliga - Wien, Country: Austria
Competition: Second Amateur Division - ACFF, Country: Belgium
Competition: Provincial - Antwerpen, Country: Belgium
Competition: Provincial - Brabant VFV, Country: Belgium
Competition: Provincial - Hainaut, Country: Belgium
Competition: Provincial - Liege, Country: Belgium
Competition: Provincial - Limburg, Country: Belgium
Competition: Provincial - Luxembourg, Country: Belgium
Competition: Provincial - Namur, Country: Belgium
Competition: Provincial - Oost-Vlaanderen, Country: Belgium
Competition: Provincial - West-Vlaanderen, Country: Belgium
Competition: Ligue 1, Country: Burkina-Faso
Competition: Ligue 1, Country: Congo-DR
Competition: Third NL - Istok, Country: Croatia
Competition: Third NL - Jug, Country: Croatia
Competition: Third NL - Sjever, Country: Croatia
Competition: Third NL - Sredite, Country: Croatia
Competition: Third NL - Zapad, Country: Croatia
Competition: 3. liga - CFL A, Country: Czech-Republic
Competition: 3. liga - MSFL, Country: Czech-Republic
Competition: 4. liga - Divizie A, Country: Czech-Republic
Competition: 4. liga - Divizie B, Country: Czech-Republic
Competition: 4. liga - Divizie C, Country: Czech-Republic
Competition: 4. liga - Divizie D, Country: Czech-Republic
Competition: 4. liga - Divizie E, Country: Czech-Republic
Competition: National League - North, Country: England
Competition: National League - South, Country: England
Competition: Non League Div One - Isthmian North, Country: England
Competition: Non League Div One - Isthmian South Central, Country: England
Competition: Non League Div One - Northern West, Country: England
Competition: Non League Div One - Northern Midlands, Country: England
Competition: Non League Div One - Southern South, Country: England
Competition: Non League Div One - Isthmian South East, Country: England
Competition: Non League Premier - Isthmian, Country: England
Competition: Non League Premier - Northern, Country: England
Competition: Non League Premier - Southern South, Country: England
Competition: Derde Divisie - Saturday, Country: Netherlands
Competition: Derde Divisie - Sunday, Country: Netherlands
Competition: II Liga - East, Country: Poland
Competition: Cup, Country: Vietnam
Competition: Youth Championship, Country: Russia
Competition: Regionalliga - Bayern, Country: Germany
Competition: Regionalliga - Nord, Country: Germany
Competition: Regionalliga - Nordost, Country: Germany
Competition: Regionalliga - SudWest, Country: Germany
Competition: Regionalliga - West, Country: Germany
Competition: Serie D - Girone A, Country: Italy
Competition: Serie D - Girone B, Country: Italy
Competition: Serie D - Girone C, Country: Italy
Competition: Serie D - Girone D, Country: Italy
Competition: Serie D - Girone E, Country: Italy
Competition: Serie D - Girone F, Country: Italy
Competition: Serie D - Girone G, Country: Italy
Competition: Serie D - Girone H, Country: Italy
Competition: Serie D - Girone I, Country: Italy
Competition: Primera División RFEF - Group 1, Country: Spain
Competition: Primera División RFEF - Group 2, Country: Spain
Competition: Primera División RFEF - Group 3, Country: Spain
Competition: Primera División RFEF - Group 4, Country: Spain
Competition: Tercera División RFEF - Group 1, Country: Spain
Competition: Tercera División RFEF - Group 2, Country: Spain
Competition: Tercera División RFEF - Group 3, Country: Spain
Competition: Tercera División RFEF - Group 4, Country: Spain
Competition: Tercera División RFEF - Group 5, Country: Spain
Competition: Tercera División RFEF - Group 6, Country: Spain
Competition: Tercera División RFEF - Group 7, Country: Spain
Competition: Tercera División RFEF - Group 8, Country: Spain
Competition: Tercera División RFEF - Group 9, Country: Spain
Competition: Tercera División RFEF - Group 10, Country: Spain
Competition: Tercera División RFEF - Group 11, Country: Spain
Competition: Tercera División RFEF - Group 12, Country: Spain
Competition: Tercera División RFEF - Group 13, Country: Spain
Competition: Tercera División RFEF - Group 14, Country: Spain
Competition: Tercera División RFEF - Group 15, Country: Spain
Competition: Tercera División RFEF - Group 16, Country: Spain
Competition: Tercera División RFEF - Group 17, Country: Spain
Competition: Tercera División RFEF - Group 18, Country: Spain
Competition: Campeonato de Portugal Prio - Group A, Country: Portugal
Competition: Campeonato de Portugal Prio - Group B, Country: Portugal
Competition: Campeonato de Portugal Prio - Group C, Country: Portugal
Competition: Campeonato de Portugal Prio - Group D, Country: Portugal
Competition: National 3 - Group A, Country: France
Competition: National 3 - Group B, Country: France
Competition: National 3 - Group C, Country: France
Competition: National 3 - Group D, Country: France
Competition: National 3 - Group E, Country: France
Competition: National 3 - Group F, Country: France
Competition: National 3 - Group H, Country: France
Competition: National 3 - Group I, Country: France
Competition: National 3 - Group J, Country: France
Competition: National 3 - Group K, Country: France
Competition: National 3 - Group L, Country: France
Competition: National 3 - Group M, Country: France
Competition: 2. Division - Group 1, Country: Norway
Competition: 2. Division - Group 2, Country: Norway
Competition: Frauenliga, Country: Austria
Competition: Federation Cup, Country: Bahrain
Competition: Coppa, Country: Belarus
Competition: First Amateur Division, Country: Belgium
Competition: USL League One, Country: USA
Competition: Super League 2, Country: Greece
Competition: Copa Paraguay, Country: Paraguay
Competition: Copa Bicentenario, Country: Peru
Competition: Copa Perú, Country: Peru
Competition: 8 Cup, Country: South-Africa
Competition: U21 League 1, Country: Algeria
Competition: Trofeo de Campeones de la Superliga, Country: Argentina
Competition: Reserve Pro League, Country: Belgium
Competition: NISA, Country: USA
Competition: UEFA Champions League Women, Country: World
Competition: CAF Super Cup, Country: World
Competition: CONCACAF Caribbean Club Shield, Country: World
Competition: Liga 2, Country: Indonesia
Competition: Liga 1, Country: Moldova
Competition: Copa Chile, Country: Chile
Competition: FA Cup, Country: China
Competition: Copa Colombia, Country: Colombia
Competition: Cup, Country: Belgium
Competition: Cup, Country: Iceland
Competition: League Cup, Country: Iceland
Competition: FAI Cup, Country: Ireland
Competition: League Cup, Country: Ireland
Competition: Toto Cup Ligat Al, Country: Israel
Competition: Copa MX, Country: Mexico
Competition: CONMEBOL Sudamericana, Country: World
Competition: CAF Champions League, Country: World
Competition: CONMEBOL Libertadores, Country: World
Competition: Schweizer Cup, Country: Switzerland
Competition: Svenska Cupen, Country: Sweden
Competition: Cup, Country: Slovenia
Competition: FA Cup, Country: Scotland
Competition: Challenge Cup, Country: Scotland
Competition: Cup, Country: Russia
Competition: Taça da Liga, Country: Portugal
Competition: Cup, Country: Poland
Competition: NM Cupen, Country: Norway
Competition: FA Cup, Country: South-Korea
Competition: Santosh Trophy, Country: India
Competition: Cup, Country: Czech-Republic
Competition: Asian Cup - Qualification, Country: World
Competition: NWSL Women, Country: USA
Competition: Pacific Coast Soccer League, Country: Canada
Competition: New South Wales NPL, Country: Australia
Competition: South Australia NPL, Country: Australia
Competition: Victoria NPL, Country: Australia
Competition: Western Australia NPL, Country: Australia
Competition: Premier Division, Country: Ireland
Competition: First Division, Country: Ireland
Competition: Arab Club Champions Cup, Country: World
Competition: Premier League Asia Trophy, Country: World
Competition: Pacific Games, Country: World
Competition: Leagues Cup, Country: World
Competition: Sudamericano U20, Country: World
Competition: FAI President's Cup, Country: Ireland
Competition: Queensland NPL, Country: Australia
Competition: Ligue A, Country: Burundi
Competition: Curaçao Sekshon Pagá, Country: Curacao
Competition: Copa Constitució, Country: Andorra
Competition: Superliga, Country: Kosovo
Competition: Cup, Country: Kosovo
Competition: QSL Cup, Country: Qatar
Competition: FA Women's Cup, Country: England
Competition: Cup, Country: Egypt
Competition: Senior Shield, Country: Hong-Kong
Competition: Srpska Liga - Belgrade, Country: Serbia
Competition: Srpska Liga - Vojvodina, Country: Serbia
Competition: Srpska Liga - East, Country: Serbia
Competition: Srpska Liga - West, Country: Serbia
Competition: Gamma Ethniki - Group 1, Country: Greece
Competition: Gamma Ethniki - Group 2, Country: Greece
Competition: Gamma Ethniki - Group 3, Country: Greece
Competition: Gamma Ethniki - Group 4, Country: Greece
Competition: Gamma Ethniki - Group 5, Country: Greece
Competition: Gamma Ethniki - Group 6, Country: Greece
Competition: Gamma Ethniki - Group 7, Country: Greece
Competition: Gamma Ethniki - Group 8, Country: Greece
Competition: World Cup - U17, Country: World
Competition: A Division, Country: Nepal
Competition: 1. Liga Classic - Group 1, Country: Switzerland
Competition: 1. Liga Classic - Group 2, Country: Switzerland
Competition: 1. Liga Classic - Group 3, Country: Switzerland
Competition: Baiano - 2, Country: Brazil
Competition: Cearense - 2, Country: Brazil
Competition: Carioca - 2, Country: Brazil
Competition: NB III - Northeast, Country: Hungary
Competition: NB III - Southwest, Country: Hungary
Competition: NB III - Northwest, Country: Hungary
Competition: Kvindeliga, Country: Denmark
Competition: Baiano - 1, Country: Brazil
Competition: Paraibano, Country: Brazil
Competition: Catarinense - 1, Country: Brazil
Competition: Paulista - A3, Country: Brazil
Competition: Paranaense - 1, Country: Brazil
Competition: Roraimense, Country: Brazil
Competition: Maranhense, Country: Brazil
Competition: Cearense - 1, Country: Brazil
Competition: Brasiliense, Country: Brazil
Competition: Capixaba, Country: Brazil
Competition: Copa do Nordeste, Country: Brazil
Competition: Paranaense - 2, Country: Brazil
Competition: Rondoniense, Country: Brazil
Competition: Potiguar, Country: Brazil
Competition: Copa do Brasil U20, Country: Brazil
Competition: São Paulo Youth Cup, Country: Brazil
Competition: Mineiro - 2, Country: Brazil
Competition: Piauiense, Country: Brazil
Competition: Pernambucano - 1, Country: Brazil
Competition: Sul-Matogrossense, Country: Brazil
Competition: Carioca - 1, Country: Brazil
Competition: Sergipano, Country: Brazil
Competition: Paraense, Country: Brazil
Competition: Goiano - 1, Country: Brazil
Competition: Mineiro - 1, Country: Brazil
Competition: Matogrossense, Country: Brazil
Competition: Tocantinense, Country: Brazil
Competition: Supercopa do Brasil, Country: Brazil
Competition: Ýokary Liga, Country: Turkmenistan
Competition: V.League 2, Country: Vietnam
Competition: Super Cup, Country: Iceland
Competition: Kansallinen Liiga, Country: Finland
Competition: NWSL Women - Challenge Cup, Country: USA
Competition: Coppa Titano, Country: San-Marino
Competition: Football League - Highland League, Country: Scotland
Competition: Football League - Lowland League, Country: Scotland
Competition: Cup, Country: Serbia
Competition: I Liga - Women, Country: Slovakia
Competition: Diski Challenge, Country: South-Africa
Competition: Copa Federacion, Country: Spain
Competition: Svenska Cupen - Women, Country: Sweden
Competition: League Cup, Country: Wales
Competition: AXA Women’s Super League, Country: Switzerland
Competition: CBF Brasileiro U20, Country: Brazil
Competition: Brasileiro de Aspirantes, Country: Brazil
Competition: Copa Paulista, Country: Brazil
Competition: Oberliga - Schleswig-Holstein, Country: Germany
Competition: Oberliga - Hamburg, Country: Germany
Competition: Oberliga - Mittelrhein, Country: Germany
Competition: Oberliga - Westfalen, Country: Germany
Competition: Oberliga - Niedersachsen, Country: Germany
Competition: Oberliga - Bremen, Country: Germany
Competition: Oberliga - Hessen, Country: Germany
Competition: Oberliga - Niederrhein, Country: Germany
Competition: Oberliga - Rheinland-Pfalz / Saar, Country: Germany
Competition: Oberliga - Baden-Württemberg, Country: Germany
Competition: Oberliga - Nordost-Nord, Country: Germany
Competition: Oberliga - Nordost-Süd, Country: Germany
Competition: Cup, Country: Macedonia
Competition: Irish Cup, Country: Northern-Ireland
Competition: Premier Division, Country: Gibraltar
Competition: Liga Mayor, Country: Dominican-Republic
Competition: LFA First Division, Country: Liberia
Competition: Cup, Country: Liechtenstein
Competition: Premier League, Country: Mauritania
Competition: Mauritian League, Country: Mauritius
Competition: Premier League, Country: Mongolia
Competition: PFL, Country: Philippines
Competition: CONCACAF League, Country: World
Competition: COSAFA U20 Championship, Country: World
Competition: 3. Division - Girone 1, Country: Norway
Competition: 3. Division - Girone 2, Country: Norway
Competition: 3. Division - Girone 3, Country: Norway
Competition: 3. Division - Girone 4, Country: Norway
Competition: 3. Division - Girone 5, Country: Norway
Competition: 3. Division - Girone 6, Country: Norway
Competition: III Liga - Group 1, Country: Poland
Competition: III Liga - Group 2, Country: Poland
Competition: III Liga - Group 3, Country: Poland
